mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.1527480125427245,0.6223050576898,0.3017428874969482,0.09299873350034903,relu,0.001,"(256, 256)",0.1,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.1}",0.2,0.07142857142857142,0.0,,,,,19
2.412767934799194,0.4415795347565576,0.25361294746398927,0.06665381303866619,relu,0.01,"(64,)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.0,,,0.21428571428571427,,,,19
1.6891003608703614,0.06751525093769103,0.1955397605895996,0.01589277072345379,relu,0.01,"(64,)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",,,,,,,,19
3.244653654098511,1.1621792497853456,0.3794142246246338,0.0951327744037439,relu,0.01,"(64,)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.0,,0.0,,,,,19
1.9089881896972656,0.11078034007375304,0.20536484718322753,0.011454339543912243,relu,0.01,"(128,)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.0,0.07142857142857142,,,,19
2.4477240085601806,0.7126451893631726,0.34951353073120117,0.08929843715636611,relu,0.01,"(128,)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",,,0.21428571428571427,0.0,,,,19
1.7974774360656738,0.13041495325102415,0.1971733570098877,0.015003156820281862,relu,0.01,"(128,)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",0.3333333333333333,0.07142857142857142,0.2857142857142857,0.0,,,,19
2.4719091415405274,0.6654590862045658,0.2802421569824219,0.11141593817097648,relu,0.01,"(256,)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.0,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07824607964359515,5
2.511583137512207,0.7900693552120563,0.20887341499328613,0.035729556089928075,relu,0.01,"(256,)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.02857142857142857,0.03499271061118826,15
1.8452303409576416,0.09959082035149527,0.19505767822265624,0.019035747791855493,relu,0.01,"(256,)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.06666666666666667,,0.0,0.0,,,,19
